id,name,created_at,author_id,tags,messages
1233560883213631488,Phone Verify on Kaggle to download instacart dataset,2024-04-26 23:30:33,862954754728788000,[1081065881943146537],"[{'id': 1233696380984365087, 'content': 'dạ được rồi ạ, cảm ơn chị', 'created_at': '2024-04-27 08:28:58', 'author': 862954754728788000}, {'id': 1233679691383312515, 'content': 'Bạn thử download bằng link này nhé', 'created_at': '2024-04-27 07:22:39', 'author': 799663797270872095}, {'id': 1233679247441268767, 'content': 'https://drive.google.com/file/d/1BQgynPvnyQZAUC4k9o5Rw4Gz-Wnygo1q/view?usp=drive_link', 'created_at': '2024-04-27 07:20:53', 'author': 799663797270872095}, {'id': 1233658268887285780, 'content': 'link file zip báo Resource Expired aj', 'created_at': '2024-04-27 05:57:31', 'author': 862954754728788000}, {'id': 1233588533277757440, 'content': 'Mình vừa tag bạn vào 1 box tương tự nhé', 'created_at': '2024-04-27 01:20:25', 'author': 799663797270872095}, {'id': 1233560883213631488, 'content': 'hi mọi người, mình bị báo lỗi khi verified số điện thoại như này thì nên xử lý như nào ạ?', 'created_at': '2024-04-26 23:30:33', 'author': 862954754728788000}]"
1233046221216813097,Python,2024-04-25 13:25:28,906194703857364992,[1231820974555529286],"[{'id': 1233048039103398023, 'content': 'dạ', 'created_at': '2024-04-25 13:32:41', 'author': 799663797270872095}, {'id': 1233047987144364124, 'content': 'à được rồi, tks e nhiều nhé', 'created_at': '2024-04-25 13:32:29', 'author': 906194703857364992}, {'id': 1233047127274426420, 'content': 'anh scroll xuống dưới có phần **Ready? Click here** để mở notebook nè anh', 'created_at': '2024-04-25 13:29:04', 'author': 799663797270872095}, {'id': 1233046980796878878, 'content': 'như giao diện hình anh gửi bên trên đúng không anh?', 'created_at': '2024-04-25 13:28:29', 'author': 799663797270872095}, {'id': 1233046614214578378, 'content': 'a nhấn vào nó không hiện ra trang colab như các bài trước, cả các bài lab trước a nhấn vào lại thì nó cũng không hiển thị', 'created_at': '2024-04-25 13:27:01', 'author': 906194703857364992}, {'id': 1233046399176937592, 'content': 'dạ nó bị lỗi gì vậy anh ha?', 'created_at': '2024-04-25 13:26:10', 'author': 799663797270872095}, {'id': 1233046221216813097, 'content': 'các bạn cho mình hỏi vì sao mình không mở được phần exam trên platform được vậy ?', 'created_at': '2024-04-25 13:25:28', 'author': 906194703857364992}]"
1233028582952140861,M4.1.2 Matplotlib,2024-04-25 12:15:22,1208078269740621915,[1081065881943146537],"[{'id': 1233040079170306100, 'content': 'phần này chị đang so sánh với barplot trong lecture của seaborn đúng không ạ? Có lẽ tại vì lecture đã được tạo từ lâu với phiên bản python cũ nên vẫn giữ bộ màu mặc định cho barplot, các version python sau này sẽ cho 1 màu mặc định cho tất cả các cột nếu không có hue hoặc palette nha chị. Em cho run lại lecture thì nó chuyển thành 1 màu theo version mới rồi ạ', 'created_at': '2024-04-25 13:01:03', 'author': 799663797270872095}, {'id': 1233032827839316089, 'content': 'dạ lệnh plt.figure cần thiết trong 1 số trường hợp vd khi chị cần điều chỉnh figure size hoặc thêm nhiều đối tượng vào 1 figure.', 'created_at': '2024-04-25 12:32:14', 'author': 799663797270872095}, {'id': 1233029450895982644, 'content': None, 'created_at': '2024-04-25 12:18:49', 'author': 1208078269740621915}, {'id': 1233029265482842163, 'content': 'Thêm nữa sao bảplot của c mà ko dùng parameter hue thì các cột sẽ chỉ có 1 màu duy nhất trong khi trong code trong bài giảng ko cần dùng hue vẫn ra màu khác nhau?', 'created_at': '2024-04-25 12:18:05', 'author': 1208078269740621915}, {'id': 1233028582952140861, 'content': 'Chị thấy vẽ plot mà không tạo figure vẫn vẽ được vậy tại sao cần tạo figure nhỉ?', 'created_at': '2024-04-25 12:15:22', 'author': 1208078269740621915}]"
1232999543147200544,cách thêm percentile each category như thế nào ạ,2024-04-25 10:19:59,1210814753572782160,[1081065881943146537],"[{'id': 1233022956842520676, 'content': 'dạ uki, e hiểu rùi c ạ', 'created_at': '2024-04-25 11:53:01', 'author': 1210814753572782160}, {'id': 1233022468218945546, 'content': 'à trong ví dụ này, là họ muốn xem trong 24 hours thì mỗi người sẽ sử dụng bao nhiêu % thời gian cho các hoạt động studied/slept/other\ncòn với bài e, trước hết e hãy count xem có bao nhiêu countries above/below average score nhé (ví dụ Europe có tổng cộng 30 countries, 20 countries above, 10 countries below, thì sẽ có 66.66% above, 33.34% below)\nmình sẽ plot theo country_count chứ ko theo score nhé', 'created_at': '2024-04-25 11:51:04', 'author': 1077439446296838144}, {'id': 1233021796475863080, 'content': 'vì họ select theo numeric series của e là categorical @@', 'created_at': '2024-04-25 11:48:24', 'author': 1210814753572782160}, {'id': 1233021677068357714, 'content': 'e đang rối chỗ df_total trong the guidance ak', 'created_at': '2024-04-25 11:47:56', 'author': 1210814753572782160}, {'id': 1233021253615489044, 'content': 'à e đang tính the number of regions á', 'created_at': '2024-04-25 11:46:15', 'author': 1210814753572782160}, {'id': 1233018853265510410, 'content': 'score của e vẫn là number, region là categorical chứ nhỉ?\nlink c gửi c thấy data input cũng giống của e, đồng thời có hướng dẫn plot chart + add thêm số vào\ne tham khảo nhé', 'created_at': '2024-04-25 11:36:43', 'author': 1077439446296838144}, {'id': 1233018279790907432, 'content': 'mục đích là để dễ nhìn hơn thui', 'created_at': '2024-04-25 11:34:26', 'author': 1210814753572782160}, {'id': 1233018116339138592, 'content': 'dạ em hiểu ạ, nhưng data hiện tại đang là categorical nên e ko biết add thêm số vào như nào á', 'created_at': '2024-04-25 11:33:47', 'author': 1210814753572782160}, {'id': 1233014857306210315, 'content': 'hi <@1210814753572782160> ơi,\ný tưởng là mình sẽ plot stacked bar chart theo %, tức là total mỗi region sẽ là 100%, mình sẽ tính xem bao nhiều % above/below average happiness score (ví dụ Europe có tổng cộng 30 countries, 20 above, 10 below, thì sẽ có 66.66% above, 33.34% below)\ne tham khảo cách plot ở link dưới nha\nhttps://www.geeksforgeeks.org/stacked-percentage-bar-plot-in-matplotlib/', 'created_at': '2024-04-25 11:20:50', 'author': 1077439446296838144}, {'id': 1232999985763582005, 'content': ""# Define custom palette\ncustom_palette = {'Above Average': 'red', 'Below Average': 'lightgray'}\n\n# Group and sort data for above-average happiness regions\nsorted_happiness_region = happiness_countries.groupby('region')['average_life_ladder'].mean().sort_values(ascending=False).reset_index()\n\n# Group and sort data for below-average happiness regions\nsorted_unhappiness_region = unhappiness_countries.groupby('region')['average_life_ladder'].mean().sort_values(ascending=True).reset_index()\n\n# Combine the two dataframes\ncombined_data = pd.concat([sorted_happiness_region, sorted_unhappiness_region], keys=['Above Average', 'Below Average'])\n\n# Plot stacked bar plot with custom palette\nplt.figure(figsize=(15, 5))\nax = sns.barplot(data=combined_data, x='region', y='average_life_ladder', hue=combined_data.index.get_level_values(0), palette=custom_palette, dodge=False)\nplt.title('Top Regions by Average Happiness Score')\nplt.ylabel('Average Happiness Score')\nplt.xlabel('Region')\nplt.legend(title='Happiness Level', loc='upper right')\n\n# Add percentile annotations\nfor p in ax.patches:\n    height = p.get_height()\n    ax.annotate(f'{height:.2f}', (p.get_x() + p.get_width() / 2, height), \n                ha='center', va='bottom', xytext=(0, 10), textcoords='offset points')\n\nplt.show()\n \ncode của e ạ"", 'created_at': '2024-04-25 10:21:44', 'author': 1210814753572782160}, {'id': 1232999966671241296, 'content': '% bạn nên đặt ở trục ko nên đặt trong bar, vì nó lặp lại --> dư thừa thông tin', 'created_at': '2024-04-25 10:21:40', 'author': 1223163671832952912}, {'id': 1232999702102802462, 'content': 'em có thêm mà messy quá ạ @@', 'created_at': '2024-04-25 10:20:37', 'author': 1210814753572782160}, {'id': 1232999543147200544, 'content': None, 'created_at': '2024-04-25 10:19:59', 'author': 1210814753572782160}]"
1232724389322166382,Exam,2024-04-24 16:06:37,1225397980522221631,[1231821093279367210],"[{'id': 1232728487622742076, 'content': 'chào bạn, \nnội dung câu hỏi là cách dùng RANK (không có định nghĩa hạng 1 là sales nhiều nhất), nên nếu xét về độ phù hợp so với yêu cầu của câu hỏi thì A và D là phù hợp hơn nhé.', 'created_at': '2024-04-24 16:22:54', 'author': 1077439446296838144}, {'id': 1232724389322166382, 'content': 'Cho em hỏi câu này tại sao đáp án B hong đúng vậy ạ?', 'created_at': '2024-04-24 16:06:37', 'author': 1225397980522221631}]"
1232682718148562985,EXAM,2024-04-24 13:21:02,1227212260431237132,[1081065846350286868],"[{'id': 1232684682173218906, 'content': 'mà e làm được ròi e cám ơn chị ạ', 'created_at': '2024-04-24 13:28:50', 'author': 1227212260431237132}, {'id': 1232684653425463427, 'content': 'dạ đúng ròi', 'created_at': '2024-04-24 13:28:43', 'author': 1227212260431237132}, {'id': 1232684551977959486, 'content': 'bạn đang làm exam basic SQL đúng ko ạ?', 'created_at': '2024-04-24 13:28:19', 'author': 1077439446296838144}, {'id': 1232684251758198855, 'content': 'xong rồi phần code sẽ để như nào để nó run ạ', 'created_at': '2024-04-24 13:27:07', 'author': 1227212260431237132}, {'id': 1232683639976759326, 'content': 'trong file exam có cell này á bạn, sau phần multiple choice nha', 'created_at': '2024-04-24 13:24:41', 'author': 1077439446296838144}, {'id': 1232683622603948102, 'content': 'vậy phần code mình sẽ để ở khúc nào ạ', 'created_at': '2024-04-24 13:24:37', 'author': 1227212260431237132}, {'id': 1232683565666402304, 'content': 'là giờ mình đánh lại giống như hình phải ko ạ', 'created_at': '2024-04-24 13:24:24', 'author': 1227212260431237132}, {'id': 1232683209985228901, 'content': 'bạn run lại cell này giúp mình nhé\ncó thể do để thời gian lâu hoặc tắt file nên cell này bị restart ấy bạn', 'created_at': '2024-04-24 13:22:59', 'author': 1077439446296838144}, {'id': 1232682718148562985, 'content': 'mn cho e hỏi là khi e làm exam nó cứ báo như vậy là sao ạ', 'created_at': '2024-04-24 13:21:02', 'author': 1227212260431237132}]"
1232589142999826472,Mình có thắc mắc ở lab module 2.2 phần hello world 3 hard ạ,2024-04-24 07:09:12,295244259181854721,[1231820974555529286],"[{'id': 1232591599855210589, 'content': 'À do hàm `round()` sẽ nhìn nhận giá trị đưa dưới dạng hệ nhị phần 0 1 và sẽ làm tròn theo hệ nhị phân. Nên sẽ có lúc .5 dc làm tròn lên hoặc xuống.\n\nĐể có thể làm tròn lên hoặc xuống cụ thể thì bạn dùng hàm `ceil()` và `floor()` nha', 'created_at': '2024-04-24 07:18:57', 'author': 815706256463364116}, {'id': 1232589142999826472, 'content': 'vì sao mình test lệnh round lúc 10.5 nó lại làm tròn xuống 10 nhưng 31.5 nó lại lên 32 ạ', 'created_at': '2024-04-24 07:09:12', 'author': 295244259181854721}]"
1232487950521208902,"Python 101. Function. lab 2(optional, hard)",2024-04-24 00:27:05,918389681304010752,[1225384878216970260],"[{'id': 1232508425292877914, 'content': 'Đúng rồi bạn nhé, cụ thể ở đây đoạn code của bạn chỉ mới so sánh tổng của 2 số đầu tiên là 2 + 4, 6 không bằng 5 nên rơi vào trường hợp else return False và kết thúc function tại đây', 'created_at': '2024-04-24 01:48:27', 'author': 799663797270872095}, {'id': 1232493902603223111, 'content': 'Dạ ngẫm xong em vẫn chưa hiểu lắm ạ. TA có thể giải thích dựa trên phần em làm vì sao nó chạy sai không ạ ? Theo em hiểu thì sau khi return xong thì nó sẽ không chạy lại vòng lặp lần nào nữa đúng không ạ ?', 'created_at': '2024-04-24 00:50:45', 'author': 918389681304010752}, {'id': 1232491432758083594, 'content': 'Bạn giúp mình đọc lại dấu chấm cuối nhe, mình mới vừa update nội dung.', 'created_at': '2024-04-24 00:40:56', 'author': 1223163671832952912}, {'id': 1232490521415516291, 'content': 'nhưng nếu với giá trị và lst em để input vậy thì hẳn nó phải trả về True rồi nó break kết thúc vòng lặp luôn chứ ạ?', 'created_at': '2024-04-24 00:37:18', 'author': 918389681304010752}, {'id': 1232489996896702485, 'content': 'Chào bạn, Hào xin trả lời, bạn cần xác định những thông tin sau để tiếp cận bài toán\n- input: một list, một value\n- ouput: True/False\n- yêu cầu: kiểm tra xem trong mảng có tồn tại hai số ở vị trí khác nhau và tổng của hai số này bằng với giá trị value trong phần input\n- trong code bạn show, return False chỉ chạy khi ko còn 2 phần tử nào nữa thoả mãn yêu cầu. Vì vậy, bạn sẽ đặt lệnh return False ở bên ngoài 2 vòng lặp.\n- Lệnh return là mạnh nhất trong 1 đoạn lệnh 1 hàm, khi return sẽ ra khỏi hàm, vì vâỵ nó đặt trước lệnh nào thì lệnh đó sẽ không chạy qua.', 'created_at': '2024-04-24 00:35:13', 'author': 1223163671832952912}, {'id': 1232487950521208902, 'content': 'Dạ TA cho em hỏi, cách em tiếp cận bài này sao lại sai vậy ạ?', 'created_at': '2024-04-24 00:27:05', 'author': 918389681304010752}]"
1232276405925183560,Nhờ Unlock Module 3,2024-04-23 10:26:29,1218124015663583355,[1225384878216970260],"[{'id': 1232281908331941930, 'content': 'Solved', 'created_at': '2024-04-23 10:48:21', 'author': 1091998511060488303}, {'id': 1232276405925183560, 'content': 'Hi tem TA,\n\nMình đã pass final exam module 2 (Python), nhờ team mở tiếp giúp mình module tiếp theo nhé\nMai: dangthanhtung209@gmail.com\n\nTks team!', 'created_at': '2024-04-23 10:26:29', 'author': 1218124015663583355}]"
1232269657734381588,Tableau Map,2024-04-23 09:59:40,1219116130698793091,[1231819328559517726],"[{'id': 1232610684131344384, 'content': 'Thank you! ^^Solved it (had to assign the correct geographic role) <@1223163671832952912>', 'created_at': '2024-04-24 08:34:47', 'author': 1219116130698793091}, {'id': 1232351587393867908, 'content': None, 'created_at': '2024-04-23 15:25:14', 'author': 1223163671832952912}, {'id': 1232351571254317147, 'content': ""In the other way, if you don't care about the map, you can use TREE MAPS like this following experiment"", 'created_at': '2024-04-23 15:25:10', 'author': 1223163671832952912}, {'id': 1232350356936327249, 'content': None, 'created_at': '2024-04-23 15:20:21', 'author': 1223163671832952912}, {'id': 1232349967360983094, 'content': 'Hi <@1219116130698793091> , I have a solution for this problem.\n- There is a mistake between your given datatype and the datatype of your included picture. Your given datatype is the ""symbol map"" datatype, and your data type in the included picture is the geometric data type. The symbol map data is a point form data type to show points in a map, so it only has a few rows. The geometric data is used to show the filled map like your included picture.\n- My solution: You use the ""Color"" and ""Size"" for ""SUM(Quantity)"" in Tableau\'s Mark sidebar like what I show', 'created_at': '2024-04-23 15:18:48', 'author': 1223163671832952912}, {'id': 1232312348916715550, 'content': ""I'm sorry <@1219116130698793091> , I will reply to this question after. I need to prepare for a full solution."", 'created_at': '2024-04-23 12:49:19', 'author': 1223163671832952912}, {'id': 1232301091635593278, 'content': ""Hi <@1223163671832952912> , thanks for your reply! I'm trying to produce a filled area map. Each district has a certain material quantity, so instead of data points, it shall be displayed as a filled area (district)."", 'created_at': '2024-04-23 12:04:35', 'author': 1219116130698793091}, {'id': 1232285686250475621, 'content': ""Hi <@1219116130698793091> , Can you explain more your demand?\nI draw a sample in Singapore from your given data. Each point is a circle for districts that have different radiuses. Each radius value is the value of total of  the 'quantity' attribute in your data."", 'created_at': '2024-04-23 11:03:22', 'author': 1223163671832952912}, {'id': 1232276847266627594, 'content': 'Hi <@1219116130698793091> bạn chờ tụi mình một xíu nhé. xin lỗi vì đã để bạn chờ lâu 🥹', 'created_at': '2024-04-23 10:28:14', 'author': 1214095592372969505}, {'id': 1232269657734381588, 'content': 'Hello. I\'m trying to create a filled map in Tableau per example attached. However data only shows as ""points"".  Appreciate your help 🙂', 'created_at': '2024-04-23 09:59:40', 'author': 1219116130698793091}]"
